epsilon,Average Cost,Cost variance,Average Time
0,0.0738802661,0,
0.1,0.0754026338,0.0001064053,
0.2,0.0823890156,0.0004050626,
0.3,0.0927794567,0.0006125082,
0.4,0.100276806,0.0014149443,
0.5,0.1027329109,0.001948006,
0.6,0.1447570408,0.0135372674,
0.7,0.1943875639,0.0284685352,
0.8,0.1725161329,0.0091114232,
0.9,0.2262381764,0.0151117513,
1,0.2427842066,0.0237070323,
