epsilon,Average Cost,Cost variance,Average Time
0,701.0000370492,1.29246970711411E-26,0.0017111015
0.05,701.3682793332,10.1654791251,0.0016382027
0.1,701.711220093,34.3629379581,0.0016514015
0.15,703.187992206,64.8559029525,0.0015984774
0.2,706.4479473358,184.1130108242,0.0016760778
0.25,705.3979244904,234.9922988295,0.0016424417
0.3,708.3883237748,386.0197181303,0.0017148209
0.35,711.7240296183,546.8912581257,0.0018124628
0.4,711.2868092717,634.7587913446,0.0031434584
0.45,718.2685223656,1206.0367644742,0.0014674807
0.5,717.2389116623,1188.9404267801,0.0014899778
0.55,718.3586463873,1130.8339664593,0.0014891577
0.6,725.8684992544,1170.8326687337,0.0014724398
0.65,738.9557801972,2409.6106501462,0.0014916992
0.7,733.4381620444,2032.3801381326,0.0014721823
0.75,741.4530784077,2539.2964785319,0.0014833593
0.8,749.8383987261,3631.7885193251,0.0014353418
0.85,749.170578103,3461.3861063677,0.0014454365
0.9,759.477721151,3700.8766791083,0.0014389801
0.95,763.86575135,4331.718316145,0.0014846563
1,772.6150301125,4132.2126113623,0.0015066814
1.1,792.0826298429,8866.0705991461,0.0011323786
1.2,797.7788288354,9388.1477904853,0.0011946821
1.3,810.2487736963,9649.9333155283,0.0012326622
1.4,833.0210768154,7574.5143477294,0.0012121582
1.5,880.9308846327,19629.7928212442,0.0012245798
1.6,875.2444452017,14468.9251622283,0.0012166786
1.7,913.9048247525,19807.6268316131,0.0011872196
1.8,939.8130184547,31604.2238361847,0.0012061214
1.9,957.1921968662,32694.7103830536,0.0011912823
2,983.5153731528,29316.566891159,0.0012269974
