epsilon,Average Cost,Cost variance,Average Time
0,22.6613192331,0,
0.1,46.6999238706,166.8758171324,
0.2,108.3875425294,1046.9401182182,
0.3,232.8411402629,4061.8385973273,
0.4,379.9027018181,14140.0676572449,
0.5,607.9237188552,80475.0138305819,
0.6,934.3235459331,293105.879260375,
0.7,1081.3439332942,246692.362105503,
0.8,1623.3920593123,735203.014888869,
0.9,1998.7399616911,1078346.98026464,
1,2289.9464086399,1506182.90059702,
