epsilon,Average Cost,Cost variance,Average Time
0,694.0407184223,1.29246970711411E-26,0.0017229414
0.05,694.349629935,9.7444063185,0.0017623997
0.1,694.7013325193,31.7658334901,0.0017550421
0.15,696.8272690071,64.651596818,0.0020608616
0.2,699.7945844529,168.2236235572,0.0028348589
0.25,699.0418456299,227.6287587516,0.0013283587
0.3,701.6220016272,359.8619717819,0.0013267803
0.35,704.6265067817,505.134744789,0.0013254213
0.4,704.5723454376,624.7314082982,0.0013515806
0.45,711.7608629732,1170.7772527594,0.0011879635
0.5,711.5132337017,1109.6453467736,0.0011961555
0.55,711.1158498648,1063.0062826601,0.0011804581
0.6,719.0899177854,1093.6632240041,0.001164999
0.65,730.8708998033,2145.6387438904,0.0011874008
0.7,726.3438266689,1915.4944644379,0.0011962986
0.75,735.0581375589,2530.0728196058,0.0012256193
0.8,741.9795682108,3372.3242547621,0.0012188625
0.85,742.1441947496,3317.3001722053,0.0012060165
0.9,754.2866392941,3687.7797547367,0.0012156153
0.95,756.24549325,3901.8821517694,0.0011969376
1,765.4335875327,3887.0192822751,0.001212821
1.1,784.9838416952,8583.7362150649,0.0016283989
1.2,790.3831309242,9298.7373783822,0.0016660976
1.3,801.0298332356,8795.1827885877,0.0016898823
1.4,827.0794499899,7224.7363321811,0.0018923807
1.5,872.6377991726,18987.8408980248,0.0015759039
1.6,868.3051840718,14688.0250665542,0.0016808605
1.7,909.0140861446,19180.0485866344,0.0015634394
1.8,931.9559269565,31457.9403386306,0.0016141224
1.9,949.6165798378,31728.791069902,0.0016425419
2,976.0445241241,29464.5708389018,0.0018710232
