epsilon,Average Cost,Cost variance,Average Time
0,21.0061997496,0,0.0092658377
0.1,21.3449934723,0.6954097881,0.0091821432
0.2,22.2650794359,3.2456017766,0.0092057419
0.3,23.6605054994,4.5191940244,0.0091872406
0.4,27.0175918441,19.2943027132,0.0092240763
0.5,28.8159923768,24.7252501995,0.0091970587
0.6,32.3421286047,40.6175401451,0.0091760397
0.7,40.4849592756,89.2120558072,0.0092097998
0.8,42.0279840908,75.9191906073,0.0092074585
0.9,48.4209362376,139.0900181441,0.009204483
1,55.5295776875,242.704149738,0.009254117
1.1,62.9553470802,220.9927574636,0.0092226219
1.2,70.818065117,390.6489474109,0.0092584181
