epsilon,Average Cost,Cost variance,Average Time
0,21.0389744939,0,
0.1,21.3624769168,0.6962923535,
0.2,22.272460792,3.2341417545,
0.3,23.6740910093,4.4976933314,
0.4,27.0175918441,19.2943027132,
0.5,28.8337007166,24.9986683744,
0.6,32.3708605715,40.8577606874,
0.7,40.4114644672,88.7014817025,
0.8,41.9947616313,75.4882372814,
0.9,48.3136560957,137.3073243828,
1,55.4670033019,247.9204150695,
1.1,62.9568203119,221.4880439542,
1.2,70.4912190121,386.6232313465,
