epsilon,Average Cost,Cost variance,Average Time
0,21.0389744939,0,
0.1,44.4651484699,96.3410635402,
0.2,111.4176661822,1074.8874484345,
0.3,204.7501773869,3165.2085830673,
0.4,411.0437843525,21916.2894681475,
0.5,607.4642770742,81052.4047134192,
0.6,753.0795291523,104422.819992198,
0.7,1269.618675137,620055.491351714,
0.8,1480.3760005353,478335.142916454,
0.9,1966.7696049852,1308996.01425052,
1,2387.6487420086,1500236.65481668,
