epsilon,Average Cost,Cost variance,Average Time
0,21.0207465268,0,0.0091600227
0.1,21.3560205784,0.6982771889,0.0090770197
0.2,22.272460792,3.2341417545,0.0091038179
0.3,23.67411934,4.4801470233,0.0095575809
0.4,27.0260758626,19.3935652007,0.0091677761
0.5,28.862099747,24.6348017533,0.0091223812
0.6,32.3372234247,40.4103396629,0.009133997
0.7,40.4608166973,89.0472631067,0.0091240788
0.8,42.0364326281,76.2696988972,0.0091329193
0.9,48.3993857914,139.5456364679,0.0090822792
1,55.5561555249,241.6427524204,0.0090835619
1.1,62.9608840979,220.4255564395,0.0090896416
1.2,70.9636769465,391.3186464235,0.0090709639
